id,timestamp,alert_type,description
4331,2026-04-14 10:37:08,ML_ANOMALY,23.64.115.206 -> 10.2.28.88 dport=53424
4330,2026-04-14 10:37:08,EVENT_VERDICT,"verdict=suspicious | src=23.64.115.206 | dst=10.2.28.88 | dport=53424 | reasons=обнаружена ML-anomaly, подозрение на компрометацию внутреннего хоста"
4329,2026-04-14 10:37:08,ML_ANOMALY,23.55.178.208 -> 10.2.28.88 dport=56817
4328,2026-04-14 10:37:08,EVENT_VERDICT,"verdict=suspicious | src=23.55.178.208 | dst=10.2.28.88 | dport=56817 | reasons=обнаружена ML-anomaly, подозрение на компрометацию внутреннего хоста"
4327,2026-04-14 10:37:08,ML_ANOMALY,10.2.28.88 -> 23.64.115.206 dport=443
4326,2026-04-14 10:37:08,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=23.64.115.206 | dport=443 | reasons=обнаружена ML-anomaly, подозрение на компрометацию внутреннего хоста"
4325,2026-04-14 10:37:07,ML_ANOMALY,10.2.28.88 -> 10.2.28.2 dport=49671
4324,2026-04-14 10:37:06,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=10.2.28.2 | dport=49671 | reasons=обнаружена ML-anomaly, подозрение на компрометацию внутреннего хоста"
4323,2026-04-14 10:37:06,EVENT_VERDICT,"verdict=malicious | src=45.131.214.85 | dst=10.2.28.88 | dport=51912 | reasons=совпадение с IOC IP, подозрение на компрометацию внутреннего хоста"
4322,2026-04-14 10:37:05,ML_ANOMALY,10.2.28.2 -> 10.2.28.88 dport=54529
4321,2026-04-14 10:37:05,EVENT_VERDICT,verdict=anomaly | src=10.2.28.2 | dst=10.2.28.88 | dport=54529 | reasons=обнаружена ML-anomaly
4320,2026-04-14 10:37:05,ML_ANOMALY,10.2.28.88 -> 23.205.110.136 dport=443
4319,2026-04-14 10:37:05,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=23.205.110.136 | dport=443 | reasons=обнаружена ML-anomaly, подозрение на компрометацию внутреннего хоста"
4318,2026-04-14 10:37:05,ML_ANOMALY,10.2.28.88 -> 23.205.110.140 dport=443
4317,2026-04-14 10:37:05,EVENT_VERDICT,"verdict=suspicious | src=10.2.28.88 | dst=23.205.110.140 | dport=443 | reasons=обнаружена ML-anomaly, подозрение на компрометацию внутреннего хоста"
4316,2026-04-14 10:37:03,ML_ANOMALY,23.55.178.219 -> 10.2.28.88 dport=60964
4315,2026-04-14 10:37:03,EVENT_VERDICT,"verdict=suspicious | src=23.55.178.219 | dst=10.2.28.88 | dport=60964 | reasons=обнаружена ML-anomaly, подозрение на компрометацию внутреннего хоста"
4314,2026-04-14 10:37:02,EVENT_VERDICT,"verdict=malicious | src=10.2.28.88 | dst=45.131.214.85 | dport=443 | reasons=совпадение с IOC IP, подозрение на компрометацию внутреннего хоста"
4313,2026-04-14 10:37:02,IOC_MATCH,45.131.214.85 -> 10.2.28.88 | matched_ip=45.131.214.85 | possible_host=10.2.28.88
4312,2026-04-14 10:37:02,EVENT_VERDICT,"verdict=malicious | src=10.2.28.88 | dst=23.64.147.24 | dport=443 | reasons=совпадение с IOC IP, подозрение на компрометацию внутреннего хоста"
4311,2026-04-14 10:37:02,INFECTED_HOST_CANDIDATE,host=10.2.28.88 | ioc_hits=3
